,Type of Market,Federal District,Federal District (id),Type of Flats,Unit of Price,Monetary Value in millions ₽,Period,Year,Average Price,Type of Building,Unit of Area,Area Introduced
0,Первичный рынок жилья,Центральный федеральный округ,030,Все типы квартир,рубль,193951.76,I квартал,2019,78080.42,Жилые здания многоквартирные,тысяча квадратных метров общей площади,2484.0
1,Первичный рынок жилья,Центральный федеральный округ,030,Все типы квартир,рубль,210820.02,II квартал,2019,79931.76,Жилые здания многоквартирные,тысяча квадратных метров общей площади,2637.5
2,Первичный рынок жилья,Центральный федеральный округ,030,Все типы квартир,рубль,289612.25,III квартал,2019,81299.23,Жилые здания многоквартирные,тысяча квадратных метров общей площади,3562.3
3,Первичный рынок жилья,Центральный федеральный округ,030,Все типы квартир,рубль,422588.01,IV квартал,2019,82740.34,Жилые здания многоквартирные,тысяча квадратных метров общей площади,5107.4
4,Первичный рынок жилья,Северо-Западный федеральный округ,031,Все типы квартир,рубль,88823.55,I квартал,2019,83324.16,Жилые здания многоквартирные,тысяча квадратных метров общей площади,1066.0
5,Первичный рынок жилья,Северо-Западный федеральный округ,031,Все типы квартир,рубль,76662.16,II квартал,2019,83857.1,Жилые здания многоквартирные,тысяча квадратных метров общей площади,914.2
6,Первичный рынок жилья,Северо-Западный федеральный округ,031,Все типы квартир,рубль,76662.38,III квартал,2019,85161.5,Жилые здания многоквартирные,тысяча квадратных метров общей площади,900.2
7,Первичный рынок жилья,Северо-Западный федеральный округ,031,Все типы квартир,рубль,309040.69,IV квартал,2019,88048.29,Жилые здания многоквартирные,тысяча квадратных метров общей площади,3509.9
8,Первичный рынок жилья,Южный федеральный округ (с 29.07.2016),040,Все типы квартир,рубль,43489.47,I квартал,2019,50639.81,Жилые здания многоквартирные,тысяча квадратных метров общей площади,858.8
9,Первичный рынок жилья,Южный федеральный округ (с 29.07.2016),040,Все типы квартир,рубль,52389.49,II квартал,2019,50603.2,Жилые здания многоквартирные,тысяча квадратных метров общей площади,1035.3
10,Первичный рынок жилья,Южный федеральный округ (с 29.07.2016),040,Все типы квартир,рубль,57042.27,III квартал,2019,52592.91,Жилые здания многоквартирные,тысяча квадратных метров общей площади,1084.6
11,Первичный рынок жилья,Южный федеральный округ (с 29.07.2016),040,Все типы квартир,рубль,93741.79,IV квартал,2019,53274.49,Жилые здания многоквартирные,тысяча квадратных метров общей площади,1759.6
12,Первичный рынок жилья,Северо-Кавказский федеральный округ,038,Все типы квартир,рубль,7152.87,I квартал,2019,36568.85,Жилые здания многоквартирные,тысяча квадратных метров общей площади,195.60000000000002
13,Первичный рынок жилья,Северо-Кавказский федеральный округ,038,Все типы квартир,рубль,8902.51,II квартал,2019,37468.46,Жилые здания многоквартирные,тысяча квадратных метров общей площади,237.6
14,Первичный рынок жилья,Северо-Кавказский федеральный округ,038,Все типы квартир,рубль,13788.01,III квартал,2019,38225.71,Жилые здания многоквартирные,тысяча квадратных метров общей площади,360.7
15,Первичный рынок жилья,Северо-Кавказский федеральный округ,038,Все типы квартир,рубль,28728.66,IV квартал,2019,38381.64,Жилые здания многоквартирные,тысяча квадратных метров общей площади,748.5
16,Первичный рынок жилья,Приволжский федеральный округ,033,Все типы квартир,рубль,62632.29,I квартал,2019,49289.6,Жилые здания многоквартирные,тысяча квадратных метров общей площади,1270.6999999999998
17,Первичный рынок жилья,Приволжский федеральный округ,033,Все типы квартир,рубль,61830.75,II квартал,2019,50158.8,Жилые здания многоквартирные,тысяча квадратных метров общей площади,1232.7
18,Первичный рынок жилья,Приволжский федеральный округ,033,Все типы квартир,рубль,75257.93,III квартал,2019,50918.76,Жилые здания многоквартирные,тысяча квадратных метров общей площади,1478.0
19,Первичный рынок жилья,Приволжский федеральный округ,033,Все типы квартир,рубль,182311.46,IV квартал,2019,51803.33,Жилые здания многоквартирные,тысяча квадратных метров общей площади,3519.3
20,Первичный рынок жилья,Уральский федеральный округ,034,Все типы квартир,рубль,25053.66,I квартал,2019,55576.0,Жилые здания многоквартирные,тысяча квадратных метров общей площади,450.8
21,Первичный рынок жилья,Уральский федеральный округ,034,Все типы квартир,рубль,24253.99,II квартал,2019,55769.12,Жилые здания многоквартирные,тысяча квадратных метров общей площади,434.9
22,Первичный рынок жилья,Уральский федеральный округ,034,Все типы квартир,рубль,43925.41,III квартал,2019,57149.89,Жилые здания многоквартирные,тысяча квадратных метров общей площади,768.6
23,Первичный рынок жилья,Уральский федеральный округ,034,Все типы квартир,рубль,134436.73,IV квартал,2019,57591.88,Жилые здания многоквартирные,тысяча квадратных метров общей площади,2334.3
24,Первичный рынок жилья,Сибирский федеральный округ,041,Все типы квартир,рубль,22570.75,I квартал,2019,49562.47,Жилые здания многоквартирные,тысяча квадратных метров общей площади,455.4
25,Первичный рынок жилья,Сибирский федеральный округ,041,Все типы квартир,рубль,35639.6,II квартал,2019,50646.01,Жилые здания многоквартирные,тысяча квадратных метров общей площади,703.7
26,Первичный рынок жилья,Сибирский федеральный округ,041,Все типы квартир,рубль,37493.06,III квартал,2019,51936.64,Жилые здания многоквартирные,тысяча квадратных метров общей площади,721.9
27,Первичный рынок жилья,Сибирский федеральный округ,041,Все типы квартир,рубль,101788.56,IV квартал,2019,53089.53,Жилые здания многоквартирные,тысяча квадратных метров общей площади,1917.3
28,Первичный рынок жилья,Дальневосточный федеральный округ,042,Все типы квартир,рубль,14678.93,I квартал,2019,69568.41,Жилые здания многоквартирные,тысяча квадратных метров общей площади,211.0
29,Первичный рынок жилья,Дальневосточный федеральный округ,042,Все типы квартир,рубль,6878.14,II квартал,2019,70835.66,Жилые здания многоквартирные,тысяча квадратных метров общей площади,97.1
30,Первичный рынок жилья,Дальневосточный федеральный округ,042,Все типы квартир,рубль,16206.41,III квартал,2019,71456.82,Жилые здания многоквартирные,тысяча квадратных метров общей площади,226.8
31,Первичный рынок жилья,Дальневосточный федеральный округ,042,Все типы квартир,рубль,49176.17,IV квартал,2019,73353.47,Жилые здания многоквартирные,тысяча квадратных метров общей площади,670.4
32,Первичный рынок жилья,Центральный федеральный округ,030,Все типы квартир,рубль,238478.66,I квартал,2020,82319.18,Жилые здания многоквартирные,тысяча квадратных метров общей площади,2897.0
33,Первичный рынок жилья,Центральный федеральный округ,030,Все типы квартир,рубль,159501.81,II квартал,2020,83996.95,Жилые здания многоквартирные,тысяча квадратных метров общей площади,1898.9
34,Первичный рынок жилья,Центральный федеральный округ,030,Все типы квартир,рубль,234824.63,III квартал,2020,87939.42,Жилые здания многоквартирные,тысяча квадратных метров общей площади,2670.3
35,Первичный рынок жилья,Центральный федеральный округ,030,Все типы квартир,рубль,540746.92,IV квартал,2020,91393.33,Жилые здания многоквартирные,тысяча квадратных метров общей площади,5916.7
36,Первичный рынок жилья,Северо-Западный федеральный округ,031,Все типы квартир,рубль,72354.8,I квартал,2020,103482.26,Жилые здания многоквартирные,тысяча квадратных метров общей площади,699.2
37,Первичный рынок жилья,Северо-Западный федеральный округ,031,Все типы квартир,рубль,97312.21,II квартал,2020,107231.08,Жилые здания многоквартирные,тысяча квадратных метров общей площади,907.5
38,Первичный рынок жилья,Северо-Западный федеральный округ,031,Все типы квартир,рубль,129261.69,III квартал,2020,111346.1,Жилые здания многоквартирные,тысяча квадратных метров общей площади,1160.9
39,Первичный рынок жилья,Северо-Западный федеральный округ,031,Все типы квартир,рубль,356580.41,IV квартал,2020,115671.46,Жилые здания многоквартирные,тысяча квадратных метров общей площади,3082.7
40,Первичный рынок жилья,Южный федеральный округ (с 29.07.2016),040,Все типы квартир,рубль,43707.41,I квартал,2020,53301.72,Жилые здания многоквартирные,тысяча квадратных метров общей площади,820.0
41,Первичный рынок жилья,Южный федеральный округ (с 29.07.2016),040,Все типы квартир,рубль,59637.08,II квартал,2020,55081.81,Жилые здания многоквартирные,тысяча квадратных метров общей площади,1082.7
42,Первичный рынок жилья,Южный федеральный округ (с 29.07.2016),040,Все типы квартир,рубль,50499.39,III квартал,2020,57281.52,Жилые здания многоквартирные,тысяча квадратных метров общей площади,881.6
43,Первичный рынок жилья,Южный федеральный округ (с 29.07.2016),040,Все типы квартир,рубль,114452.48,IV квартал,2020,59072.25,Жилые здания многоквартирные,тысяча квадратных метров общей площади,1937.5
44,Первичный рынок жилья,Северо-Кавказский федеральный округ,038,Все типы квартир,рубль,7287.2,I квартал,2020,36748.36,Жилые здания многоквартирные,тысяча квадратных метров общей площади,198.29999999999998
45,Первичный рынок жилья,Северо-Кавказский федеральный округ,038,Все типы квартир,рубль,7961.86,II квартал,2020,39201.66,Жилые здания многоквартирные,тысяча квадратных метров общей площади,203.1
46,Первичный рынок жилья,Северо-Кавказский федеральный округ,038,Все типы квартир,рубль,17194.39,III квартал,2020,40286.77,Жилые здания многоквартирные,тысяча квадратных метров общей площади,426.8
47,Первичный рынок жилья,Северо-Кавказский федеральный округ,038,Все типы квартир,рубль,26441.73,IV квартал,2020,40567.24,Жилые здания многоквартирные,тысяча квадратных метров общей площади,651.8
48,Первичный рынок жилья,Приволжский федеральный округ,033,Все типы квартир,рубль,80634.19,I квартал,2020,53276.64,Жилые здания многоквартирные,тысяча квадратных метров общей площади,1513.5
49,Первичный рынок жилья,Приволжский федеральный округ,033,Все типы квартир,рубль,43269.65,II квартал,2020,54134.43,Жилые здания многоквартирные,тысяча квадратных метров общей площади,799.3
50,Первичный рынок жилья,Приволжский федеральный округ,033,Все типы квартир,рубль,91289.77,III квартал,2020,55186.66,Жилые здания многоквартирные,тысяча квадратных метров общей площади,1654.2
51,Первичный рынок жилья,Приволжский федеральный округ,033,Все типы квартир,рубль,160855.69,IV квартал,2020,57176.87,Жилые здания многоквартирные,тысяча квадратных метров общей площади,2813.3
52,Первичный рынок жилья,Уральский федеральный округ,034,Все типы квартир,рубль,24543.61,I квартал,2020,62088.57,Жилые здания многоквартирные,тысяча квадратных метров общей площади,395.3
53,Первичный рынок жилья,Уральский федеральный округ,034,Все типы квартир,рубль,37115.75,II квартал,2020,62695.52,Жилые здания многоквартирные,тысяча квадратных метров общей площади,592.0
54,Первичный рынок жилья,Уральский федеральный округ,034,Все типы квартир,рубль,61628.17,III квартал,2020,65291.0,Жилые здания многоквартирные,тысяча квадратных метров общей площади,943.9
55,Первичный рынок жилья,Уральский федеральный округ,034,Все типы квартир,рубль,132432.64,IV квартал,2020,67959.48,Жилые здания многоквартирные,тысяча квадратных метров общей площади,1948.7
56,Первичный рынок жилья,Сибирский федеральный округ,041,Все типы квартир,рубль,31277.08,I квартал,2020,53963.22,Жилые здания многоквартирные,тысяча квадратных метров общей площади,579.6
57,Первичный рынок жилья,Сибирский федеральный округ,041,Все типы квартир,рубль,30293.37,II квартал,2020,55380.94,Жилые здания многоквартирные,тысяча квадратных метров общей площади,547.0
58,Первичный рынок жилья,Сибирский федеральный округ,041,Все типы квартир,рубль,51664.31,III квартал,2020,56730.33,Жилые здания многоквартирные,тысяча квадратных метров общей площади,910.7
59,Первичный рынок жилья,Сибирский федеральный округ,041,Все типы квартир,рубль,115147.12,IV квартал,2020,58868.67,Жилые здания многоквартирные,тысяча квадратных метров общей площади,1956.0
60,Первичный рынок жилья,Дальневосточный федеральный округ,042,Все типы квартир,рубль,15166.08,I квартал,2020,81846.09,Жилые здания многоквартирные,тысяча квадратных метров общей площади,185.29999999999998
61,Первичный рынок жилья,Дальневосточный федеральный округ,042,Все типы квартир,рубль,13586.34,II квартал,2020,85180.8,Жилые здания многоквартирные,тысяча квадратных метров общей площади,159.5
62,Первичный рынок жилья,Дальневосточный федеральный округ,042,Все типы квартир,рубль,23438.36,III квартал,2020,88114.12,Жилые здания многоквартирные,тысяча квадратных метров общей площади,266.0
63,Первичный рынок жилья,Дальневосточный федеральный округ,042,Все типы квартир,рубль,60714.18,IV квартал,2020,91094.05,Жилые здания многоквартирные,тысяча квадратных метров общей площади,666.5
64,Первичный рынок жилья,Центральный федеральный округ,030,Все типы квартир,рубль,251225.02,I квартал,2021,101235.1,Жилые здания многоквартирные,тысяча квадратных метров общей площади,2481.6
65,Первичный рынок жилья,Центральный федеральный округ,030,Все типы квартир,рубль,367840.28,II квартал,2021,108469.06,Жилые здания многоквартирные,тысяча квадратных метров общей площади,3391.2
66,Первичный рынок жилья,Центральный федеральный округ,030,Все типы квартир,рубль,427801.78,III квартал,2021,113043.49,Жилые здания многоквартирные,тысяча квадратных метров общей площади,3784.4
67,Первичный рынок жилья,Северо-Западный федеральный округ,031,Все типы квартир,рубль,173696.26,I квартал,2021,129257.52,Жилые здания многоквартирные,тысяча квадратных метров общей площади,1343.8
68,Первичный рынок жилья,Северо-Западный федеральный округ,031,Все типы квартир,рубль,126889.47,II квартал,2021,140039.15,Жилые здания многоквартирные,тысяча квадратных метров общей площади,906.1
69,Первичный рынок жилья,Северо-Западный федеральный округ,031,Все типы квартир,рубль,266386.64,III квартал,2021,143829.51,Жилые здания многоквартирные,тысяча квадратных метров общей площади,1852.1
70,Первичный рынок жилья,Южный федеральный округ (с 29.07.2016),040,Все типы квартир,рубль,52465.45,I квартал,2021,63013.99,Жилые здания многоквартирные,тысяча квадратных метров общей площади,832.6
71,Первичный рынок жилья,Южный федеральный округ (с 29.07.2016),040,Все типы квартир,рубль,71383.78,II квартал,2021,70761.08,Жилые здания многоквартирные,тысяча квадратных метров общей площади,1008.8
72,Первичный рынок жилья,Южный федеральный округ (с 29.07.2016),040,Все типы квартир,рубль,115621.93,III квартал,2021,79899.06,Жилые здания многоквартирные,тысяча квадратных метров общей площади,1447.1
73,Первичный рынок жилья,Северо-Кавказский федеральный округ,038,Все типы квартир,рубль,10395.65,I квартал,2021,40687.47,Жилые здания многоквартирные,тысяча квадратных метров общей площади,255.5
74,Первичный рынок жилья,Северо-Кавказский федеральный округ,038,Все типы квартир,рубль,12582.18,II квартал,2021,41266.58,Жилые здания многоквартирные,тысяча квадратных метров общей площади,304.9
