Year,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021
Period,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал
Federal District,,,,,,,,,,,,
Дальневосточный федеральный округ,211.0,97.1,226.8,670.4,185.29999999999998,159.5,266.0,666.5,310.1,148.6,300.1,700.4
Приволжский федеральный округ,1270.6999999999998,1232.7,1478.0,3519.3,1513.5,799.3,1654.2,2813.3,1841.1,1039.7,1572.8,2217.0
Северо-Западный федеральный округ,1066.0,914.2,900.2,3509.9,699.2,907.5,1160.9,3082.7,1343.8,906.1,1852.1,1736.6
Северо-Кавказский федеральный округ,195.60000000000002,237.6,360.7,748.5,198.29999999999998,203.1,426.8,651.8,255.5,304.9,496.4,363.2
Сибирский федеральный округ,455.4,703.7,721.9,1917.3,579.6,547.0,910.7,1956.0,632.7,583.6,876.9,1767.2
Уральский федеральный округ,450.8,434.9,768.6,2334.3,395.3,592.0,943.9,1948.7,333.6,673.0,946.6,1857.8
Центральный федеральный округ,2484.0,2637.5,3562.3,5107.4,2897.0,1898.9,2670.3,5916.7,2481.6,3391.2,3784.4,5176.2
Южный федеральный округ (с 29.07.2016),858.8,1035.3,1084.6,1759.6,820.0,1082.7,881.6,1937.5,832.6,1008.8,1447.1,1928.8
