Year,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021
Period,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал,IV квартал,I квартал,II квартал,III квартал
Federal District,,,,,,,,,,,
Дальневосточный федеральный округ,69568.41,70835.66,71456.82,73353.47,81846.09,85180.8,88114.12,91094.05,97972.5,101302.51,103587.15
Приволжский федеральный округ,49289.6,50158.8,50918.76,51803.33,53276.64,54134.43,55186.66,57176.87,63450.65,66153.52,69233.37
Северо-Западный федеральный округ,83324.16,83857.1,85161.5,88048.29,103482.26,107231.08,111346.1,115671.46,129257.52,140039.15,143829.51
Северо-Кавказский федеральный округ,36568.85,37468.46,38225.71,38381.64,36748.36,39201.66,40286.77,40567.24,40687.47,41266.58,41902.44
Сибирский федеральный округ,49562.47,50646.01,51936.64,53089.53,53963.22,55380.94,56730.33,58868.67,63299.4,66779.52,70411.54
Уральский федеральный округ,55576.0,55769.12,57149.89,57591.88,62088.57,62695.52,65291.0,67959.48,69847.28,73011.9,77182.4
Центральный федеральный округ,78080.42,79931.76,81299.23,82740.34,82319.18,83996.95,87939.42,91393.33,101235.1,108469.06,113043.49
Южный федеральный округ (с 29.07.2016),50639.81,50603.2,52592.91,53274.49,53301.72,55081.81,57281.52,59072.25,63013.99,70761.08,79899.06
